repo,prefix,status,rust_signal,description,top_level
device/asus/flo,device,ok,,,"[{""type"": ""dir"", ""name"": ""bdAddrLoader""}, {""type"": ""dir"", ""name"": ""bluetooth""}, {""type"": ""dir"", ""name"": ""camera""}, {""type"": ""dir"", ""name"": ""charger_touch""}, {""type"": ""dir"", ""name"": ""conn_init""}, {""type"": ""dir"", ""name"": ""dumpstate""}, {""type"": ""dir"", ""name"": ""factory-images""}, {""type"": ""dir"", ""name"": ""kernel-headers""}, {""type"": ""dir"", ""name"": ""nfc""}, {""type"": ""dir"", ""name"": ""original-kernel-headers""}, {""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""dir"", ""name"": ""power""}, {""type"": ""dir"", ""name"": ""self-extractors""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""dir"", ""name"": ""voice_processing""}, {""type"": ""file"", ""name"": ""Android.mk""}, {""type"": ""file"", ""name"": ""AndroidBoard.mk""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""aosp_flo.mk""}, {""type"": ""file"", ""name"": ""apq8064-tabla-snd-card_Button_Jack.kcm""}, {""type"": ""file"", ""name"": ""apq8064-tabla-snd-card_Button_Jack.kl""}, {""type"": ""file"", ""name"": ""audio_effects.conf""}, {""type"": ""file"", ""name"": ""audio_policy.conf""}, {""type"": ""file"", ""name"": ""board-info.txt""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""BoardConfigCommon.mk""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""device-common.mk""}, {""type"": ""file"", ""name"": ""device.mk""}, {""type"": ""file"", ""name"": ""egl.cfg""}, {""type"": ""file"", ""name"": ""elan-touchscreen.idc""}, {""type"": ""file"", ""name"": ""fstab.flo""}, {""type"": ""file"", ""name"": ""full_flo.mk""}, {""type"": ""file"", ""name"": ""hs_detect.kcm""}, {""type"": ""file"", ""name"": ""hs_detect.kl""}, {""type"": ""file"", ""name"": ""init.flo.bt.sh""}, {""type"": ""file"", ""name"": ""init.flo.diag.rc.user""}, {""type"": ""file"", ""name"": ""init.flo.diag.rc.userdebug""}, {""type"": ""file"", ""name"": ""init.flo.rc""}, {""type"": ""file"", ""name"": ""init.flo.usb.rc""}, {""type"": ""file"", ""name"": ""init.flo.wifi.sh""}, {""type"": ""file"", ""name"": ""keypad_8064.kcm""}, {""type"": ""file"", ""name"": ""keypad_8064.kl""}, {""type"": ""file"", ""name"": ""kickstart_checker.sh""}, {""type"": ""file"", ""name"": ""media_codecs.xml""}, {""type"": ""file"", ""name"": ""media_codecs_performance.xml""}, {""type"": ""file"", ""name"": ""media_profiles.xml""}, {""type"": ""file"", ""name"": ""mixer_paths.xml""}, {""type"": ""file"", ""name"": ""p2p_supplicant_overlay.conf""}, {""type"": ""file"", ""name"": ""pmic8xxx_pwrkey.kcm""}, {""type"": ""file"", ""name"": ""pmic8xxx_pwrkey.kl""}, {""type"": ""file"", ""name"": ""proprietary-blobs.txt""}, {""type"": ""file"", ""name"": ""releasetools.py""}, {""type"": ""file"", ""name"": ""sec_config""}, {""type"": ""file"", ""name"": ""system.prop""}, {""type"": ""file"", ""name"": ""thermald-flo.conf""}, {""type"": ""file"", ""name"": ""touch_dev.idc""}, {""type"": ""file"", ""name"": ""ueventd.flo.rc""}, {""type"": ""file"", ""name"": ""vendor_owner_info.txt""}, {""type"": ""file"", ""name"": ""vendorsetup.sh""}, {""type"": ""file"", ""name"": ""WCNSS_cfg.dat""}, {""type"": ""file"", ""name"": ""WCNSS_qcom_cfg.ini""}, {""type"": ""file"", ""name"": ""WCNSS_qcom_wlan_nv_deb.bin""}, {""type"": ""file"", ""name"": ""WCNSS_qcom_wlan_nv_flo.bin""}, {""type"": ""file"", ""name"": ""wpa_supplicant_overlay.conf""}]"
device/asus/flo-kernel,device,ok,,,"[{""type"": ""file"", ""name"": ""kernel""}]"
device/asus/fugu,device,ok,,,"[{""type"": ""dir"", ""name"": ""bluetooth""}, {""type"": ""dir"", ""name"": ""dumpstate""}, {""type"": ""dir"", ""name"": ""factory-images""}, {""type"": ""dir"", ""name"": ""kernel-headers""}, {""type"": ""dir"", ""name"": ""libaudio""}, {""type"": ""dir"", ""name"": ""original-kernel-headers""}, {""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""dir"", ""name"": ""power""}, {""type"": ""dir"", ""name"": ""recovery""}, {""type"": ""dir"", ""name"": ""self-extractors""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""file"", ""name"": ""Android.mk""}, {""type"": ""file"", ""name"": ""AndroidBoard.mk""}, {""type"": ""file"", ""name"": ""AndroidKernel.mk""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""aosp_fugu.mk""}, {""type"": ""file"", ""name"": ""audio_policy_configuration.xml""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""bootanimation-580-256col.zip""}, {""type"": ""file"", ""name"": ""bt_vendor.conf""}, {""type"": ""file"", ""name"": ""codec_resources_limitation.xml""}, {""type"": ""file"", ""name"": ""compatibility_matrix.xml""}, {""type"": ""file"", ""name"": ""device.mk""}, {""type"": ""file"", ""name"": ""egl.cfg""}, {""type"": ""file"", ""name"": ""fstab.fugu""}, {""type"": ""file"", ""name"": ""full_fugu.mk""}, {""type"": ""file"", ""name"": ""Generic.kl""}, {""type"": ""file"", ""name"": ""gpio-keys.idc""}, {""type"": ""file"", ""name"": ""gpio-keys.kcm""}, {""type"": ""file"", ""name"": ""gpio-keys.kl""}, {""type"": ""file"", ""name"": ""init.fugu.countrycode.sh""}, {""type"": ""file"", ""name"": ""init.fugu.diag.rc.userdebug""}, {""type"": ""file"", ""name"": ""init.fugu.rc""}, {""type"": ""file"", ""name"": ""init.fugu.usb.rc""}, {""type"": ""file"", ""name"": ""init.recovery.fugu.rc""}, {""type"": ""file"", ""name"": ""manifest.xml""}, {""type"": ""file"", ""name"": ""media_codecs.xml""}, {""type"": ""file"", ""name"": ""media_codecs_performance.xml""}, {""type"": ""file"", ""name"": ""media_profiles.xml""}, {""type"": ""file"", ""name"": ""mfx_omxil_core.conf""}, {""type"": ""file"", ""name"": ""Nexus_Remote.idc""}, {""type"": ""file"", ""name"": ""Nexus_Remote.kl""}, {""type"": ""file"", ""name"": ""powervr.ini""}, {""type"": ""file"", ""name"": ""proprietary-blobs.txt""}, {""type"": ""file"", ""name"": ""recovery.fstab""}, {""type"": ""file"", ""name"": ""releasetools.py""}, {""type"": ""file"", ""name"": ""sep_policy.conf""}, {""type"": ""file"", ""name"": ""Spike.kl""}, {""type"": ""file"", ""name"": ""ueventd.fugu.rc""}, {""type"": ""file"", ""name"": ""vendor_owner_info.txt""}, {""type"": ""file"", ""name"": ""video_isv_profile.xml""}, {""type"": ""file"", ""name"": ""wpa_supplicant.conf""}, {""type"": ""file"", ""name"": ""wrs_omxil_components.list""}]"
device/asus/fugu-kernel,device,ok,,,"[{""type"": ""file"", ""name"": ""bzImage""}]"
device/asus/grouper,device,ok,,Files specific to Nexus 7,"[{""type"": ""dir"", ""name"": ""audio""}, {""type"": ""dir"", ""name"": ""bluetooth""}, {""type"": ""dir"", ""name"": ""dumpstate""}, {""type"": ""dir"", ""name"": ""factory-images""}, {""type"": ""dir"", ""name"": ""keymaster""}, {""type"": ""dir"", ""name"": ""liblights""}, {""type"": ""dir"", ""name"": ""nfc""}, {""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""dir"", ""name"": ""power""}, {""type"": ""dir"", ""name"": ""self-extractors""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""file"", ""name"": ""Android.mk""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""aosp_grouper.mk""}, {""type"": ""file"", ""name"": ""audio_policy.conf""}, {""type"": ""file"", ""name"": ""board-info.txt""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""BoardConfigCommon.mk""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""device-common.mk""}, {""type"": ""file"", ""name"": ""device.mk""}, {""type"": ""file"", ""name"": ""egl.cfg""}, {""type"": ""file"", ""name"": ""elan-touchscreen.idc""}, {""type"": ""file"", ""name"": ""fstab.grouper""}, {""type"": ""file"", ""name"": ""full_grouper.mk""}, {""type"": ""file"", ""name"": ""gpio-keys.kl""}, {""type"": ""file"", ""name"": ""gps.conf""}, {""type"": ""file"", ""name"": ""init.grouper.rc""}, {""type"": ""file"", ""name"": ""init.grouper.usb.rc""}, {""type"": ""file"", ""name"": ""kernel""}, {""type"": ""file"", ""name"": ""media_codecs.xml""}, {""type"": ""file"", ""name"": ""media_profiles.xml""}, {""type"": ""file"", ""name"": ""mixer_paths.xml""}, {""type"": ""file"", ""name"": ""proprietary-blobs.txt""}, {""type"": ""file"", ""name"": ""raydium_ts.idc""}, {""type"": ""file"", ""name"": ""releasetools.py""}, {""type"": ""file"", ""name"": ""sensor00fn11.idc""}, {""type"": ""file"", ""name"": ""system.prop""}, {""type"": ""file"", ""name"": ""touch_fw_update.sh""}, {""type"": ""file"", ""name"": ""ueventd.grouper.rc""}, {""type"": ""file"", ""name"": ""vendorsetup.sh""}]"
device/asus/tilapia,device,ok,,,"[{""type"": ""dir"", ""name"": ""factory-images""}, {""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""dir"", ""name"": ""recovery""}, {""type"": ""dir"", ""name"": ""self-extractors""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""aosp_tilapia.mk""}, {""type"": ""file"", ""name"": ""board-info.txt""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""device.mk""}, {""type"": ""file"", ""name"": ""fstab.grouper""}, {""type"": ""file"", ""name"": ""full_tilapia.mk""}, {""type"": ""file"", ""name"": ""init.recovery.tilapia.rc""}, {""type"": ""file"", ""name"": ""init.tilapia.rc""}, {""type"": ""file"", ""name"": ""proprietary-blobs.txt""}, {""type"": ""file"", ""name"": ""releasetools.py""}, {""type"": ""file"", ""name"": ""system.prop""}, {""type"": ""file"", ""name"": ""vendorsetup.sh""}]"
device/casio/koi-uboot,device,empty_ok,,,[]
device/common,device,ok,,,"[{""type"": ""dir"", ""name"": ""gps""}, {""type"": ""file"", ""name"": ""CleanSpec.mk""}, {""type"": ""file"", ""name"": ""clear-factory-images-variables.sh""}, {""type"": ""file"", ""name"": ""generate-android-bp-for-blobs.sh""}, {""type"": ""file"", ""name"": ""generate-blob-lists.sh""}, {""type"": ""file"", ""name"": ""generate-factory-images-common.sh""}, {""type"": ""file"", ""name"": ""generate-packages.sh""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""populate-new-device.sh""}]"
device/freescale/picoimx,device,ok,,b/26753464,"[{""type"": ""dir"", ""name"": ""base_product""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""file"", ""name"": ""AndroidBoard.mk""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""fstab.device""}, {""type"": ""file"", ""name"": ""init.freescale.rc""}, {""type"": ""file"", ""name"": ""init.freescale.usb.rc""}, {""type"": ""file"", ""name"": ""provision-device""}, {""type"": ""file"", ""name"": ""ueventd.freescale.rc""}]"
device/generic/arm64,device,ok,,,"[{""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""mini_arm64.mk""}]"
